cell	tf
HSC-1	MAFF_HUMAN.H11MO.1.B
HSC-1	CEBPB_HUMAN.H11MO.0.A
HSC-1	SPIC_HUMAN.H11MO.0.D
HSC-1	NFIB_HUMAN.H11MO.0.D
HSC-1	IRF9_HUMAN.H11MO.0.C
HSC-1	IRF4_HUMAN.H11MO.0.A
HSC-1	NDF1_HUMAN.H11MO.0.A
HSC-1	STAT2_HUMAN.H11MO.0.A
HSC-1	ZEB1_HUMAN.H11MO.0.A
HSC-1	CEBPD_HUMAN.H11MO.0.C
HSC-1	KLF1_HUMAN.H11MO.0.A
HSC-1	ETS1_HUMAN.H11MO.0.A
HSC-1	ITF2_HUMAN.H11MO.0.C
HSC-1	IRF1_HUMAN.H11MO.0.A
MEP-6	CEBPB_HUMAN.H11MO.0.A
MEP-6	CTCFL_HUMAN.H11MO.0.A
MEP-6	JUN_HUMAN.H11MO.0.A
MEP-6	ERG_HUMAN.H11MO.0.A
MEP-6	BATF_HUMAN.H11MO.1.A
MEP-6	STAT1_HUMAN.H11MO.1.A
MEP-6	CEBPE_HUMAN.H11MO.0.A
MEP-6	STAT2_HUMAN.H11MO.0.A
MEP-6	IRF2_HUMAN.H11MO.0.A
MEP-6	IRF8_HUMAN.H11MO.0.B
MEP-6	HEN1_HUMAN.H11MO.0.C
MEP-6	NDF1_HUMAN.H11MO.0.A
MEP-6	IRF5_HUMAN.H11MO.0.D
MEP-6	ETV4_HUMAN.H11MO.0.B
MEP-6	MAFG_HUMAN.H11MO.1.A
MEP-6	ETV6_HUMAN.H11MO.0.D
MEP-6	SPI1_HUMAN.H11MO.0.A
MEP-6	NFIL3_HUMAN.H11MO.0.D
MEP-6	ATF4_HUMAN.H11MO.0.A
MEP-6	JUNB_HUMAN.H11MO.0.A
MEP-6	CEBPD_HUMAN.H11MO.0.C
MEP-6	SNAI1_HUMAN.H11MO.0.C
MEP-6	MEF2C_HUMAN.H11MO.0.A
MEP-6	NFE2_HUMAN.H11MO.0.A
MEP-6	CEBPG_HUMAN.H11MO.0.B
MEP-6	RUNX1_HUMAN.H11MO.0.A
MEP-6	IRF3_HUMAN.H11MO.0.B
MEP-6	FOSB_HUMAN.H11MO.0.A
MEP-6	ETS2_HUMAN.H11MO.0.B
MEP-6	BC11A_HUMAN.H11MO.0.A
MEP-6	TWST1_HUMAN.H11MO.1.A
MEP-6	JDP2_HUMAN.H11MO.0.D
MEP-6	ID4_HUMAN.H11MO.0.D
MEP-6	HTF4_HUMAN.H11MO.0.A
MEP-6	MYF6_HUMAN.H11MO.0.C
